TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
1877,tt0852863,tv,Phineas and Ferb,2007-08-17T00:00:00Z,,,7.89,,2025-03-04T11:47:21Z
114,tt0100405,movie,Pretty Woman,1990-03-23T00:00:00Z,,,7.455,,2025-03-04T11:47:32Z
11077,tt0100419,movie,Problem Child,1990-07-27T00:00:00Z,,,6.15,,2025-03-04T11:47:48Z
28597,tt0102719,movie,Problem Child 2,1991-07-03T00:00:00Z,,,5.856,,2025-03-04T11:47:56Z
787781,tt13405810,movie,Quiz Lady,2023-09-09T00:00:00Z,,,6.71,,2025-03-04T11:48:12Z
2062,tt0382932,movie,Ratatouille,2007-06-28T00:00:00Z,,,7.836,,2025-03-04T11:48:27Z
333339,tt1677720,movie,Ready Player One,2018-03-28T00:00:00Z,,,7.584,,2025-03-04T11:48:41Z
39254,tt0433035,movie,Real Steel,2011-09-28T00:00:00Z,,,7.064,,2025-03-04T11:48:52Z
96580,tt8690918,tv,Resident Alien,2021-01-27T00:00:00Z,,,7.805,,2025-03-04T11:49:04Z
60625,tt2861424,tv,Rick and Morty,2013-12-02T00:00:00Z,,,8.681,,2025-03-04T11:49:33Z
1022690,tt1660648,movie,Ricky Stanicky,2024-03-07T00:00:00Z,,,6.517,,2025-03-04T11:49:58Z
5548,tt0093870,movie,RoboCop,1987-07-17T00:00:00Z,,,7.352,,2025-03-04T11:50:16Z
5549,tt0100502,movie,RoboCop 2,1990-06-22T00:00:00Z,,,6.029,,2025-03-04T11:50:22Z
657,tt0106115,tv,Rocko's Modern Life,1993-09-18T00:00:00Z,,,7.402,,2025-03-04T11:50:35Z
1366,tt0075148,movie,Rocky,1976-12-03T00:00:00Z,,,7.794,,2025-03-04T11:50:46Z
4247,tt0175142,movie,Scary Movie,2000-07-07T00:00:00Z,,,6.38,,2025-03-04T11:51:01Z
